KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y7M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_14Y7M,2023-02-14,2.4705376640073706,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 14-year 7-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 14-year 7-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y8M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_14Y8M,2023-02-14,2.470372261124779,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 14-year 8-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 14-year 8-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y9M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_14Y9M,2023-02-14,2.470199752248158,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 14-year 9-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 14-year 9-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y,2023-02-14,2.4696398113032605,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y10M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y10M,2023-02-14,2.467322067777542,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 10-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y11M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y11M,2023-02-14,2.467052912576985,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 11-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y1M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y1M,2023-02-14,2.4694391071964015,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 1-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 1-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y2M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y2M,2023-02-14,2.469231418344184,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 2-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 2-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y3M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y3M,2023-02-14,2.469016772907306,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 3-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 3-month residual maturity - Euro, provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y4M,B,U2,EUR,4F,G_N_A,SV_C_YM,PY_15Y4M,2023-02-14,2.4687952002134494,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Par yield curve rate, 15-year 4-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Par yield curve rate, 15-year 4-month residual maturity - Euro, provided by ECB",PCPA,0
